,company,name,ticker,date,brand,sales,transactions
4408335,Lyft,Lyft,LYFT,2014-11-22,Lyft Rides,44216,3484.0
4410189,Lyft,Lyft,LYFT,2014-11-23,Lyft Scooters,0,0.0
4408336,Lyft,Lyft,LYFT,2014-11-23,Lyft Rides,33917,2619.0
4412042,Lyft,Lyft,LYFT,2014-11-23,Motivate,0,0.0
4410190,Lyft,Lyft,LYFT,2014-11-24,Lyft Scooters,0,0.0
4408337,Lyft,Lyft,LYFT,2014-11-24,Lyft Rides,20880,1635.0
4412043,Lyft,Lyft,LYFT,2014-11-24,Motivate,0,0.0
4410191,Lyft,Lyft,LYFT,2014-11-25,Lyft Scooters,0,0.0
4412044,Lyft,Lyft,LYFT,2014-11-25,Motivate,0,0.0
4408338,Lyft,Lyft,LYFT,2014-11-25,Lyft Rides,20478,1585.0
4412045,Lyft,Lyft,LYFT,2014-11-26,Motivate,0,0.0
4410192,Lyft,Lyft,LYFT,2014-11-26,Lyft Scooters,0,0.0
4408339,Lyft,Lyft,LYFT,2014-11-26,Lyft Rides,26245,1957.0
4412046,Lyft,Lyft,LYFT,2014-11-27,Motivate,0,0.0
4410193,Lyft,Lyft,LYFT,2014-11-27,Lyft Scooters,0,0.0
4408340,Lyft,Lyft,LYFT,2014-11-27,Lyft Rides,23111,1699.0
4412047,Lyft,Lyft,LYFT,2014-11-28,Motivate,0,0.0
4410194,Lyft,Lyft,LYFT,2014-11-28,Lyft Scooters,0,0.0
4408341,Lyft,Lyft,LYFT,2014-11-28,Lyft Rides,21602,1605.0
4410195,Lyft,Lyft,LYFT,2014-11-29,Lyft Scooters,0,0.0
4408342,Lyft,Lyft,LYFT,2014-11-29,Lyft Rides,25834,2036.0
4412048,Lyft,Lyft,LYFT,2014-11-29,Motivate,0,0.0
4408343,Lyft,Lyft,LYFT,2014-11-30,Lyft Rides,23483,1783.0
4412049,Lyft,Lyft,LYFT,2014-11-30,Motivate,0,0.0
4410196,Lyft,Lyft,LYFT,2014-11-30,Lyft Scooters,0,0.0
4408344,Lyft,Lyft,LYFT,2014-12-01,Lyft Rides,19740,1505.0
4412050,Lyft,Lyft,LYFT,2014-12-01,Motivate,0,0.0
4410197,Lyft,Lyft,LYFT,2014-12-01,Lyft Scooters,0,0.0
4412051,Lyft,Lyft,LYFT,2014-12-02,Motivate,0,0.0
4410198,Lyft,Lyft,LYFT,2014-12-02,Lyft Scooters,0,0.0
4408345,Lyft,Lyft,LYFT,2014-12-02,Lyft Rides,21893,1695.0
4410199,Lyft,Lyft,LYFT,2014-12-03,Lyft Scooters,0,0.0
4408346,Lyft,Lyft,LYFT,2014-12-03,Lyft Rides,23213,1849.0
4412052,Lyft,Lyft,LYFT,2014-12-03,Motivate,0,0.0
4410200,Lyft,Lyft,LYFT,2014-12-04,Lyft Scooters,0,0.0
4408347,Lyft,Lyft,LYFT,2014-12-04,Lyft Rides,26817,2117.0
4412053,Lyft,Lyft,LYFT,2014-12-04,Motivate,0,0.0
4410201,Lyft,Lyft,LYFT,2014-12-05,Lyft Scooters,0,0.0
4408348,Lyft,Lyft,LYFT,2014-12-05,Lyft Rides,38300,2863.0
